raw_row_number,legacy_tempid,proposed_canonical_title,raw_title,proposed_series,proposed_item_type,proposed_year,proposed_month,proposed_format,proposed_format_detail,proposed_owned,proposed_source_url_veritas,raw_product_link,link_review_status,approval,review_notes
103,LS200507_1,Transcending Obstacles,Transcending Obstacles (Sep 2005) DVD01,Nonduality Intensive,lecture,2005,07,DVD,DVD01,true,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,proposed_valid,,
104,LS200507_2,Transcending Obstacles,Transcending Obstacles (Sep 2005) DVD02,Nonduality Intensive,lecture,2005,07,DVD,DVD02,true,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,proposed_valid,,
105,LS200507_3,Transcending Obstacles,Transcending Obstacles (Sep 2005) DVD03,Nonduality Intensive,lecture,2005,07,DVD,DVD03,true,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,https://veritaspub.com/product/2005-09-transcending-obstacles-sept-2005/,proposed_valid,,
106,LS200508_1,Spiritual Traps,Spiritual Traps (Oct 2005) DVD01,Nonduality Intensive,lecture,2005,08,DVD,DVD01,true,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,proposed_valid,,
107,LS200508_2,Spiritual Traps,Spiritual Traps (Oct 2005) DVD02,Nonduality Intensive,lecture,2005,08,DVD,DVD02,true,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,proposed_valid,,
108,LS200508_3,Spiritual Traps,Spiritual Traps (Oct 2005) DVD03,Nonduality Intensive,lecture,2005,08,DVD,DVD03,true,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,https://veritaspub.com/product/2005-10-spiritual-traps-october-2005/,proposed_valid,,
109,LS200509_1,Valid Teachers and Teachings,Valid Teachers and Teachings (Nov 2005) DVD01,Nonduality Intensive,lecture,2005,09,DVD,DVD01,true,https://veritaspub.com/product/2005-11-valid-teachers-and-teachings-nov-2005/,https://veritaspub.com/product/2005-11-valid-teachers-and-teachings-nov-2005/,proposed_valid,,
110,LS200509_2,Valid Teachers and Teachings,Valid Teachers and Teachings (Nov 2005) DVD02,Nonduality Intensive,lecture,2005,09,DVD,DVD02,true,https://veritaspub.com/product/2005-11-valid-teachers-and-teachings-nov-2005/,https://veritaspub.com/product/2005-11-valid-teachers-and-teachings-nov-2005/,proposed_valid,,
111,LS200509_3,Valid Teachers and Teachings,Valid Teachers and Teachings (Nov 2005) DVD03,Nonduality Intensive,lecture,2005,09,DVD,DVD03,true,https://veritaspub.com/product/2005-11-valid-teachers-and-teachings-nov-2005/,https://veritaspub.com/product/2005-11-valid-teachers-and-teachings-nov-2005/,proposed_valid,,
112,LS200510_1,"God, Religion, and Spirituality","God, Religion, and Spirituality (Dec 2005) DVD01",Nonduality Intensive,lecture,2005,10,DVD,DVD01,true,https://veritaspub.com/product/2005-12-god-religion-and-spirituality-dec-2005/,https://veritaspub.com/product/2005-12-god-religion-and-spirituality-dec-2005/,proposed_valid,,
113,LS200510_2,"God, Religion, and Spirituality","God, Religion, and Spirituality (Dec 2005) DVD02",Nonduality Intensive,lecture,2005,10,DVD,DVD02,true,https://veritaspub.com/product/2005-12-god-religion-and-spirituality-dec-2005/,https://veritaspub.com/product/2005-12-god-religion-and-spirituality-dec-2005/,proposed_valid,,
114,LS200510_3,"God, Religion, and Spirituality","God, Religion, and Spirituality (Dec 2005) DVD03",Nonduality Intensive,lecture,2005,10,DVD,DVD03,true,https://veritaspub.com/product/2005-12-god-religion-and-spirituality-dec-2005/,https://veritaspub.com/product/2005-12-god-religion-and-spirituality-dec-2005/,proposed_valid,,
116,LS200601_1,Experiential Reality,Experiential Reality (Feb 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,01,DVD,DVD01,true,https://veritaspub.com/product/2006-02-experiential-reality-feb-2006/,https://veritaspub.com/product/2006-02-experiential-reality-feb-2006/,proposed_valid,,
117,LS200601_2,Experiential Reality,Experiential Reality (Feb 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,01,DVD,DVD02,true,https://veritaspub.com/product/2006-02-experiential-reality-feb-2006/,https://veritaspub.com/product/2006-02-experiential-reality-feb-2006/,proposed_valid,,
118,LS200601_3,Experiential Reality,Experiential Reality (Feb 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,01,DVD,DVD03,true,https://veritaspub.com/product/2006-02-experiential-reality-feb-2006/,https://veritaspub.com/product/2006-02-experiential-reality-feb-2006/,proposed_valid,,
119,LS200602_1,Perception vs Essence,Perception vs Essence (Apr 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,02,DVD,DVD01,true,https://veritaspub.com/product/2006-04-perception-vs-essence-april-2006/,https://veritaspub.com/product/2006-04-perception-vs-essence-april-2006/,proposed_valid,,
120,LS200602_2,Perception vs Essence,Perception vs Essence (Apr 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,02,DVD,DVD02,true,https://veritaspub.com/product/2006-04-perception-vs-essence-april-2006/,https://veritaspub.com/product/2006-04-perception-vs-essence-april-2006/,proposed_valid,,
121,LS200602_3,Perception vs Essence,Perception vs Essence (Apr 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,02,DVD,DVD03,true,https://veritaspub.com/product/2006-04-perception-vs-essence-april-2006/,https://veritaspub.com/product/2006-04-perception-vs-essence-april-2006/,proposed_valid,,
122,LS200603_1,Spiritual Truth vs. Spiritual Fantasy,Spiritual Truth vs. Spiritual Fantasy (Jun 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,03,DVD,DVD01,true,https://veritaspub.com/product/2006-06-spiritual-truth-vs-spiritual-fantasy-june-2006/,https://veritaspub.com/product/2006-06-spiritual-truth-vs-spiritual-fantasy-june-2006/,proposed_valid,,
123,LS200603_2,Spiritual Truth vs. Spiritual Fantasy,Spiritual Truth vs. Spiritual Fantasy (Jun 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,03,DVD,DVD02,true,https://veritaspub.com/product/2006-06-spiritual-truth-vs-spiritual-fantasy-june-2006/,https://veritaspub.com/product/2006-06-spiritual-truth-vs-spiritual-fantasy-june-2006/,proposed_valid,,
124,LS200603_3,Spiritual Truth vs. Spiritual Fantasy,Spiritual Truth vs. Spiritual Fantasy (Jun 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,03,DVD,DVD03,true,https://veritaspub.com/product/2006-06-spiritual-truth-vs-spiritual-fantasy-june-2006/,https://veritaspub.com/product/2006-06-spiritual-truth-vs-spiritual-fantasy-june-2006/,proposed_valid,,
125,LS200604_1,Reason vs Truth,Reason vs Truth (Aug 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,04,DVD,DVD01,true,https://veritaspub.com/product/2006-08-reason-vs-truth-aug-2006/,https://veritaspub.com/product/2006-08-reason-vs-truth-aug-2006/,proposed_valid,,
126,LS200604_2,Reason vs Truth,Reason vs Truth (Aug 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,04,DVD,DVD02,true,https://veritaspub.com/product/2006-08-reason-vs-truth-aug-2006/,https://veritaspub.com/product/2006-08-reason-vs-truth-aug-2006/,proposed_valid,,
127,LS200604_3,Reason vs Truth,Reason vs Truth (Aug 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,04,DVD,DVD03,true,https://veritaspub.com/product/2006-08-reason-vs-truth-aug-2006/,https://veritaspub.com/product/2006-08-reason-vs-truth-aug-2006/,proposed_valid,,
128,LS200605_1,A Review of the Work,A Review of the Work (Sep 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,05,DVD,DVD01,true,https://veritaspub.com/product/2006-09-a-review-of-the-work-sept-2006/,https://veritaspub.com/product/2006-09-a-review-of-the-work-sept-2006/,proposed_valid,,
129,LS200605_2,A Review of the Work,A Review of the Work (Sep 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,05,DVD,DVD02,true,https://veritaspub.com/product/2006-09-a-review-of-the-work-sept-2006/,https://veritaspub.com/product/2006-09-a-review-of-the-work-sept-2006/,proposed_valid,,
130,LS200605_3,A Review of the Work,A Review of the Work (Sep 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,05,DVD,DVD03,true,https://veritaspub.com/product/2006-09-a-review-of-the-work-sept-2006/,https://veritaspub.com/product/2006-09-a-review-of-the-work-sept-2006/,proposed_valid,,
131,LS200606_1,Spiritual Practice and Daily Life,Spiritual Practice and Daily Life (Oct 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,06,DVD,DVD01,true,https://veritaspub.com/product/2006-10-spiritual-practice-and-daily-life-oct-2006/,https://veritaspub.com/product/2006-10-spiritual-practice-and-daily-life-oct-2006/,proposed_valid,,
132,LS200606_2,Spiritual Practice and Daily Life,Spiritual Practice and Daily Life (Oct 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,06,DVD,DVD02,true,https://veritaspub.com/product/2006-10-spiritual-practice-and-daily-life-oct-2006/,https://veritaspub.com/product/2006-10-spiritual-practice-and-daily-life-oct-2006/,proposed_valid,,
133,LS200606_3,Spiritual Practice and Daily Life,Spiritual Practice and Daily Life (Oct 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,06,DVD,DVD03,true,https://veritaspub.com/product/2006-10-spiritual-practice-and-daily-life-oct-2006/,https://veritaspub.com/product/2006-10-spiritual-practice-and-daily-life-oct-2006/,proposed_valid,,
134,LS200607_1,Live Your Life Like a Prayer,Live Your Life Like a Prayer (Nov 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,07,DVD,DVD01,true,https://veritaspub.com/product/2006-11-live-your-life-like-a-prayer-nov-2006/,https://veritaspub.com/product/2006-11-live-your-life-like-a-prayer-nov-2006/,proposed_valid,,
135,LS200607_2,Live Your Life Like a Prayer,Live Your Life Like a Prayer (Nov 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,07,DVD,DVD02,true,https://veritaspub.com/product/2006-11-live-your-life-like-a-prayer-nov-2006/,https://veritaspub.com/product/2006-11-live-your-life-like-a-prayer-nov-2006/,proposed_valid,,
136,LS200607_3,Live Your Life Like a Prayer,Live Your Life Like a Prayer (Nov 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,07,DVD,DVD03,true,https://veritaspub.com/product/2006-11-live-your-life-like-a-prayer-nov-2006/,https://veritaspub.com/product/2006-11-live-your-life-like-a-prayer-nov-2006/,proposed_valid,,
137,LS200608_1,Is the Miraculous Real?,Is the Miraculous Real? (Dec 2006) DVD01,Transcending Levels of Consciousness,lecture,2006,08,DVD,DVD01,true,https://veritaspub.com/product/2006-12-is-the-miraculous-real-dec-2006/,https://veritaspub.com/product/2006-12-is-the-miraculous-real-dec-2006/,proposed_valid,,
138,LS200608_2,Is the Miraculous Real?,Is the Miraculous Real? (Dec 2006) DVD02,Transcending Levels of Consciousness,lecture,2006,08,DVD,DVD02,true,https://veritaspub.com/product/2006-12-is-the-miraculous-real-dec-2006/,https://veritaspub.com/product/2006-12-is-the-miraculous-real-dec-2006/,proposed_valid,,
139,LS200608_3,Is the Miraculous Real?,Is the Miraculous Real? (Dec 2006) DVD03,Transcending Levels of Consciousness,lecture,2006,08,DVD,DVD03,true,https://veritaspub.com/product/2006-12-is-the-miraculous-real-dec-2006/,https://veritaspub.com/product/2006-12-is-the-miraculous-real-dec-2006/,proposed_valid,,
141,LS200701_1,God vs Science: Limits of the Mind,God vs Science: Limits of the Mind (Feb 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,01,DVD,DVD01,true,https://veritaspub.com/product/2007-02-god-vs-science-limits-of-the-mind-feb-2007/,https://veritaspub.com/product/2007-02-god-vs-science-limits-of-the-mind-feb-2007/,proposed_valid,,
142,LS200701_2,God vs Science: Limits of the Mind,God vs Science: Limits of the Mind (Feb 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,01,DVD,DVD02,true,https://veritaspub.com/product/2007-02-god-vs-science-limits-of-the-mind-feb-2007/,https://veritaspub.com/product/2007-02-god-vs-science-limits-of-the-mind-feb-2007/,proposed_valid,,
143,LS200701_3,God vs Science: Limits of the Mind,God vs Science: Limits of the Mind (Feb 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,01,DVD,DVD03,true,https://veritaspub.com/product/2007-02-god-vs-science-limits-of-the-mind-feb-2007/,https://veritaspub.com/product/2007-02-god-vs-science-limits-of-the-mind-feb-2007/,proposed_valid,,
144,LS200702_1,Relativism vs Reality,Relativism vs Reality (Apr 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,02,DVD,DVD01,true,,,missing,,
145,LS200702_2,Relativism vs Reality,Relativism vs Reality (Apr 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,02,DVD,DVD02,true,,,missing,,
146,LS200702_3,Relativism vs Reality,Relativism vs Reality (Apr 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,02,DVD,DVD03,true,,,missing,,
147,LS200703_1,What is 'Real'?,What is 'Real'? (Jun 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,03,DVD,DVD01,true,https://veritaspub.com/product/2007-06-what-is-real-june-2007/,https://veritaspub.com/product/2007-06-what-is-real-june-2007/,proposed_valid,,
148,LS200703_2,What is 'Real'?,What is 'Real'? (Jun 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,03,DVD,DVD02,true,https://veritaspub.com/product/2007-06-what-is-real-june-2007/,https://veritaspub.com/product/2007-06-what-is-real-june-2007/,proposed_valid,,
149,LS200703_3,What is 'Real'?,What is 'Real'? (Jun 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,03,DVD,DVD03,true,https://veritaspub.com/product/2007-06-what-is-real-june-2007/,https://veritaspub.com/product/2007-06-what-is-real-june-2007/,proposed_valid,,
150,LS200704_1,What is Truth? The Absolute,What is Truth? The Absolute (Jul 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,04,DVD,DVD01,true,https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,proposed_valid,,
151,LS200704_2,What is Truth? The Absolute,What is Truth? The Absolute (Jul 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,04,DVD,DVD02,true,https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,proposed_valid,,
152,LS200704_3,What is Truth? The Absolute,What is Truth? The Absolute (Jul 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,04,DVD,DVD03,true,https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,proposed_valid,,
153,LS200705_1,The Human Dilemma,The Human Dilemma (Aug 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,05,DVD,DVD01,true,https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,proposed_valid,,
154,LS200705_2,The Human Dilemma,The Human Dilemma (Aug 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,05,DVD,DVD02,true,https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,proposed_valid,,
155,LS200705_3,The Human Dilemma,The Human Dilemma (Aug 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,05,DVD,DVD03,true,https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,proposed_valid,,
156,LS200706_1,A Review of the Work,A Review of the Work (Sep 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,06,DVD,DVD01,true,https://veritaspub.com/product/2007-09-a-review-of-the-work/,https://veritaspub.com/product/2007-09-a-review-of-the-work/,proposed_valid,,
157,LS200706_2,A Review of the Work,A Review of the Work (Sep 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,06,DVD,DVD02,true,https://veritaspub.com/product/2007-09-a-review-of-the-work/,https://veritaspub.com/product/2007-09-a-review-of-the-work/,proposed_valid,,
158,LS200706_3,A Review of the Work,A Review of the Work (Sep 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,06,DVD,DVD03,true,https://veritaspub.com/product/2007-09-a-review-of-the-work/,https://veritaspub.com/product/2007-09-a-review-of-the-work/,proposed_valid,,
159,LS200707_1,Creation vs Evolution,Creation vs Evolution (Oct 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,07,DVD,DVD01,true,https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,proposed_valid,,
160,LS200707_2,Creation vs Evolution,Creation vs Evolution (Oct 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,07,DVD,DVD02,true,https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,proposed_valid,,
161,LS200707_3,Creation vs Evolution,Creation vs Evolution (Oct 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,07,DVD,DVD03,true,https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,proposed_valid,,
162,LS200708_1,Spiritual Survival: Realization of Reality,Spiritual Survival: Realization of Reality (Nov 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,08,DVD,DVD01,true,https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,proposed_valid,,
163,LS200708_2,Spiritual Survival: Realization of Reality,Spiritual Survival: Realization of Reality (Nov 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,08,DVD,DVD02,true,https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,proposed_valid,,
164,LS200708_3,Spiritual Survival: Realization of Reality,Spiritual Survival: Realization of Reality (Nov 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,08,DVD,DVD03,true,https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,proposed_valid,,
165,LS200709_1,Experiential Reality: The Mystic,Experiential Reality: The Mystic (Dec 2007) DVD01,Spiritual Reality & Modern Man,lecture,2007,09,DVD,DVD01,true,https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,proposed_valid,,
166,LS200709_2,Experiential Reality: The Mystic,Experiential Reality: The Mystic (Dec 2007) DVD02,Spiritual Reality & Modern Man,lecture,2007,09,DVD,DVD02,true,https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,proposed_valid,,
167,LS200709_3,Experiential Reality: The Mystic,Experiential Reality: The Mystic (Dec 2007) DVD03,Spiritual Reality & Modern Man,lecture,2007,09,DVD,DVD03,true,https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,proposed_valid,,
169,LS200801_1,Spirituality: Reason and Faith,Spirituality: Reason and Faith (Jan 2008) DVD01,Advanced Spiritual Awareness,lecture,2008,01,DVD,DVD01,true,https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,proposed_valid,,
170,LS200801_2,Spirituality: Reason and Faith,Spirituality: Reason and Faith (Jan 2008) DVD02,Advanced Spiritual Awareness,lecture,2008,01,DVD,DVD02,true,https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,proposed_valid,,
171,LS200801_3,Spirituality: Reason and Faith,Spirituality: Reason and Faith (Jan 2008) DVD03,Advanced Spiritual Awareness,lecture,2008,01,DVD,DVD03,true,https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,proposed_valid,,
172,LS200802_1,The Clear Pathway to Enlightenment,The Clear Pathway to Enlightenment (Mar 2008) DVD01,Advanced Spiritual Awareness,lecture,2008,02,DVD,DVD01,true,https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,proposed_valid,,
173,LS200802_2,The Clear Pathway to Enlightenment,The Clear Pathway to Enlightenment (Mar 2008) DVD02,Advanced Spiritual Awareness,lecture,2008,02,DVD,DVD02,true,https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,proposed_valid,,
174,LS200802_3,The Clear Pathway to Enlightenment,The Clear Pathway to Enlightenment (Mar 2008) DVD03,Advanced Spiritual Awareness,lecture,2008,02,DVD,DVD03,true,https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,proposed_valid,,
175,LS200803_1,"Belief, Trust and Credibility","Belief, Trust and Credibility (Jun 2008) DVD01",Advanced Spiritual Awareness,lecture,2008,03,DVD,DVD01,true,https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,proposed_valid,,
176,LS200803_2,"Belief, Trust and Credibility","Belief, Trust and Credibility (Jun 2008) DVD02",Advanced Spiritual Awareness,lecture,2008,03,DVD,DVD02,true,https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,proposed_valid,,
177,LS200803_3,"Belief, Trust and Credibility","Belief, Trust and Credibility (Jun 2008) DVD03",Advanced Spiritual Awareness,lecture,2008,03,DVD,DVD03,true,https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,proposed_valid,,
178,LS200804_1,"Overcoming Doubt, Skepticism & Disbelief","Overcoming Doubt, Skepticism & Disbelief (Aug 2008) DVD01",Advanced Spiritual Awareness,lecture,2008,04,DVD,DVD01,true,https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,proposed_valid,,
179,LS200804_2,"Overcoming Doubt, Skepticism & Disbelief","Overcoming Doubt, Skepticism & Disbelief (Aug 2008) DVD02",Advanced Spiritual Awareness,lecture,2008,04,DVD,DVD02,true,https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,proposed_valid,,
180,LS200804_3,"Overcoming Doubt, Skepticism & Disbelief","Overcoming Doubt, Skepticism & Disbelief (Aug 2008) DVD03",Advanced Spiritual Awareness,lecture,2008,04,DVD,DVD03,true,https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,proposed_valid,,
181,LS200805_1,Practical Spirituality,Practical Spirituality (Oct 2008) DVD01,Advanced Spiritual Awareness,lecture,2008,05,DVD,DVD01,true,https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,proposed_valid,,
182,LS200805_2,Practical Spirituality,Practical Spirituality (Oct 2008) DVD02,Advanced Spiritual Awareness,lecture,2008,05,DVD,DVD02,true,https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,proposed_valid,,
183,LS200805_3,Practical Spirituality,Practical Spirituality (Oct 2008) DVD03,Advanced Spiritual Awareness,lecture,2008,05,DVD,DVD03,true,https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,proposed_valid,,
184,LS200806_1,Freedom: Morality and Ethics,Freedom: Morality and Ethics (Nov 2008) DVD01,Advanced Spiritual Awareness,lecture,2008,06,DVD,DVD01,true,https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,proposed_valid,,
185,LS200806_2,Freedom: Morality and Ethics,Freedom: Morality and Ethics (Nov 2008) DVD02,Advanced Spiritual Awareness,lecture,2008,06,DVD,DVD02,true,https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,proposed_valid,,
186,LS200806_3,Freedom: Morality and Ethics,Freedom: Morality and Ethics (Nov 2008) DVD03,Advanced Spiritual Awareness,lecture,2008,06,DVD,DVD03,true,https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,proposed_valid,,
187,LS200807_1,A Unique Sedona Seminar,A Unique Sedona Seminar (Dec 2008) DVD01,Advanced Spiritual Awareness,lecture,2008,07,DVD,DVD01,true,https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,proposed_valid,,
188,LS200807_2,A Unique Sedona Seminar,A Unique Sedona Seminar (Dec 2008) DVD02,Advanced Spiritual Awareness,lecture,2008,07,DVD,DVD02,true,https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,proposed_valid,,
189,LS200807_3,A Unique Sedona Seminar,A Unique Sedona Seminar (Dec 2008) DVD03,Advanced Spiritual Awareness,lecture,2008,07,DVD,DVD03,true,https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,proposed_valid,,
191,LS200901_1,What is the World?,What is the World? (Feb 2009) DVD01,In the World but Not of It,lecture,2009,01,DVD,DVD01,true,https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,proposed_valid,,
192,LS200901_2,What is the World?,What is the World? (Feb 2009) DVD02,In the World but Not of It,lecture,2009,01,DVD,DVD02,true,https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,proposed_valid,,
193,LS200901_3,What is the World?,What is the World? (Feb 2009) DVD03,In the World but Not of It,lecture,2009,01,DVD,DVD03,true,https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,proposed_valid,,
194,LS200902_1,Happiness,Happiness (Apr 2009) DVD01,In the World but Not of It,lecture,2009,02,DVD,DVD01,true,https://veritaspub.com/product/2009-04-happiness-april-2009/,https://veritaspub.com/product/2009-04-happiness-april-2009/,proposed_valid,,
195,LS200902_2,Happiness,Happiness (Apr 2009) DVD02,In the World but Not of It,lecture,2009,02,DVD,DVD02,true,https://veritaspub.com/product/2009-04-happiness-april-2009/,https://veritaspub.com/product/2009-04-happiness-april-2009/,proposed_valid,,
